你	ты (nǐ)
穿	надевать, одевать, носить (chuān)
件	сч. слово (для предметов одежды) (jiàn)
衬衫	рубашка (мужская), блузка (женская) (chènshān)
绿	зеленый (lǜ)
大	большой (dà)
白	белый (bái)
裤子	брюки (kùzi)
大衣	пальто (dàyī)
黑	черный (hēi)
剧场	театр, зрительный зал (jùchǎng)
场	площадка, поле (спортивное); сцена, сч. слово (сеанс) (chǎng)
点	сч. слово (час) (diǎn)
食堂	столовая (общепит) (shítáng)
食	пища, еда (shí)
堂	зал (táng)
差	недоставать (chà)
分	сч. слово (минута) (fēn)
刻	сч. слово (четверть) (kè)
上课	начинать занятия (shàngkè)
课	урок, занятия (kè)
下课	заканчивать урок (xiàkè)
以后	после, позже, после того, как (yǐhòu)
后	сзади, задний, потом, будущий (hòu)
事儿	дело, событие, работа (shìr)
回	возвращаться, поворачивать обратно (huí)
跟	(вместе) с; идти с; следовать за (gēn)
一起	вместе, совместно (yìqǐ)
电影	фильм, кино (diànyǐng)
电	электричество, электронный (diàn)
咖啡馆	кафе (kāfēiguǎn)
咖啡	кофе (kāfēi)
半	половина (bàn)
等	ждать, ожидать (děng)
走	идти (пешком) (zǒu)
路	дорога, путь, улица (lù)
